
DEPTH           POR        PORW       BULK       PORT       PORF       PERM         HF         PF         SW         SH       CALC         CL       PORX       PORH        RWA       RMFA
1900.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.000    100.000     69.722      0.000     69.722      0.000      0.000      0.331      0.493
1900.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.000    100.000     69.310      0.000     69.310      0.000      0.000      0.300      0.369
1900.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.000    100.000     69.335      0.000     69.335      0.000      0.000      0.263      0.292
1900.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.001    100.000     68.505      0.000     68.505      0.000      0.000      0.233      0.249
1900.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.001    100.000     67.389      0.000     67.389      0.000      0.000      0.213      0.249
1900.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.001    100.000     66.254      0.000     66.254      0.000      0.000      0.234      0.267
1900.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.001    100.000     65.888      0.000     65.888      0.000      0.000      0.270      0.273
1900.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.001    100.000     66.527      0.000     66.527      0.000      0.000      0.262      0.236
1901.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.001    100.000     67.224      0.000     67.224      0.000      0.000      0.255      0.221
1901.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.001    100.000     67.035      0.000     67.035      0.000      0.000      0.257      0.223
1901.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.001    100.000     67.377      0.000     67.377      0.000      0.000      0.205      0.192
1901.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.002    100.000     69.259      0.000     69.259      0.000      0.000      0.191      0.193
1901.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.002    100.000     71.084      0.000     71.084      0.000      0.000      0.209      0.230
1901.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.002    100.000     72.761      0.000     72.761      0.000      0.000      0.233      0.255
1901.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.002    100.000     74.868      0.000     74.868      0.000      0.000      0.256      0.268
1901.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.002    100.000     75.602      0.000     75.602      0.000      0.000      0.279      0.290
1902.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.002    100.000     77.403      0.000     77.403      0.000      0.000      0.300      0.297
1902.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.002    100.000     75.809      0.000     75.809      0.000      0.000      0.306      0.262
1902.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.002    100.000     72.201      0.000     72.201      0.000      0.000      0.254      0.182
1902.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.003    100.000     69.658      0.000     69.658      0.000      0.000      0.229      0.145
1902.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.003    100.000     67.389      0.000     67.389      0.000      0.000      0.218      0.143
1902.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.003    100.000     66.022      0.000     66.022      0.000      0.000      0.201      0.146
1902.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.003    100.000     65.884      0.000     65.884      0.000      0.000      0.201      0.153
1902.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.003    100.000     66.572      0.000     66.572      0.000      0.000      0.238      0.198
1903.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.003    100.000     66.168      0.000     66.168      0.000      0.000      0.259      0.239
1903.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.003    100.000     66.547      0.000     66.547      0.000      0.000      0.268      0.267
1903.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.003    100.000     65.738      0.000     65.738      0.000      0.000      0.266      0.273
1903.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.000      0.004    100.000     65.151      0.000     65.151      0.000      0.000      0.236      0.254
